timestamp_ms,rel_timestamp_ms,accel_x,accel_y,accel_z,label
1790089208563,2643,2.1087,2.4538,7.4112,Walking
1790089208584,2664,2.9623,2.7123,8.2780,Walking
1790089208606,2686,3.6353,2.9222,8.9330,Walking
1790089208626,2706,3.3087,2.9414,8.5759,Walking
1790089208654,2734,2.9623,2.9157,8.4449,Walking
1790089208670,2750,2.4203,2.7003,8.4257,Walking
1790089208689,2769,2.2504,2.8026,8.0465,Walking
1790089208713,2793,1.6445,2.8247,7.4070,Walking
1790089208732,2812,1.3842,2.8439,7.1151,Walking
1790089208753,2833,1.4088,3.0024,6.9643,Walking
1790089208774,2854,1.8712,3.1938,7.1246,Walking
1790089208795,2875,1.9783,3.3547,7.3077,Walking
1790089208817,2897,1.7791,3.1663,8.0399,Walking
1790089208838,2918,1.4770,2.9623,8.5555,Walking
1790089208861,2941,1.5535,3.0401,8.9701,Walking
1790089208881,2961,1.6684,3.2387,8.9731,Walking
1790089208901,2981,1.6977,3.4780,8.7356,Walking
1790089208922,3002,1.8694,3.6640,8.7990,Walking
1790089208944,3024,1.9304,3.7220,8.9031,Walking
1790089208965,3045,2.0136,3.8776,8.8678,Walking
1790089208987,3067,2.1374,3.9147,9.2297,Walking
1790089209007,3087,2.0291,3.8034,9.5330,Walking
1790089209028,3108,1.9603,3.7196,9.3129,Walking
1790089209050,3130,1.6175,3.4780,9.0784,Walking
1790089209071,3151,1.3268,3.2285,9.0287,Walking
1790089209092,3172,1.3974,3.1382,9.0724,Walking
1790089209113,3193,1.1707,2.9563,9.2106,Walking
1790089209135,3215,0.8363,2.8600,9.6203,Walking
1790089209155,3235,0.9350,2.8493,10.2736,Walking
1790089209177,3257,0.8728,2.5268,11.2929,Walking
1790089209197,3277,0.7944,2.0638,12.4726,Walking
1790089209220,3300,0.8614,1.8078,12.2022,Walking
1790089209242,3322,0.3284,1.6780,10.2191,Walking
1790089209262,3342,0.3685,1.7862,8.6124,Walking
1790089209284,3364,0.4911,2.0160,7.7874,Walking
1790089209305,3385,0.4373,2.1021,7.7384,Walking
1790089209325,3405,0.8058,2.2941,8.5292,Walking
1790089209346,3426,0.8931,2.3940,8.9653,Walking
1790089209369,3449,0.9272,2.4682,9.4552,Walking
1790089209389,3469,1.1468,2.4263,10.5506,Walking
1790089209411,3491,1.3573,2.5137,10.9286,Walking
1790089209432,3512,0.9093,2.5735,9.5216,Walking
1790089209453,3533,0.3601,2.5394,8.1613,Walking
1790089209473,3553,0.1292,2.5759,7.7641,Walking
1790089209495,3575,0.2740,2.5621,7.9220,Walking
1790089209517,3597,0.0784,2.4993,8.0782,Walking
1790089209537,3617,0.0335,2.4012,8.4449,Walking
1790089209558,3638,0.1896,2.4233,8.9348,Walking
1790089209582,3662,0.3954,2.5089,9.0963,Walking
1790089209601,3681,0.7496,2.7386,9.0688,Walking
1790089209621,3701,0.4672,2.7009,8.7254,Walking
1790089209643,3723,0.4869,2.7553,8.8660,Walking
1790089209665,3745,0.7454,2.8487,9.5845,Walking
1790089209686,3766,0.7053,2.8349,10.0528,Walking
1790089209706,3786,0.3876,2.7900,9.7017,Walking
1790089209727,3807,0.5378,3.0072,9.0102,Walking
1790089209749,3829,0.7334,3.1334,8.9539,Walking
1790089209770,3850,0.9703,3.2459,9.3482,Walking
1790089209791,3871,1.1856,3.3852,9.5438,Walking
1790089209812,3892,0.9392,3.2506,9.5031,Walking
1790089209835,3915,1.0660,3.2800,9.5204,Walking
1790089209855,3935,1.4608,3.3392,9.6491,Walking
1790089209877,3957,1.7791,3.4851,9.5677,Walking
1790089209897,3977,1.8156,3.4828,9.1633,Walking
1790089209917,3997,2.0752,3.4505,9.2907,Walking
1790089209942,4022,2.2989,3.3482,9.9936,Walking
1790089209962,4042,2.3414,3.2818,10.0517,Walking
1790089209982,4062,2.4437,3.4217,8.6859,Walking
1790089210004,4084,2.9240,3.3918,8.4676,Walking
1790089210025,4105,2.8187,2.8026,9.8309,Walking
1790089210045,4125,2.2887,2.3414,10.5266,Walking
1790089210068,4148,1.5900,2.0375,10.0080,Walking
1790089210088,4168,0.9667,1.9783,9.0006,Walking
1790089210111,4191,1.0241,2.0004,9.1884,Walking
1790089210131,4211,1.4967,2.1284,9.5845,Walking
1790089210152,4232,1.8628,2.2098,9.7274,Walking
1790089210173,4253,2.3336,2.2672,9.6497,Walking
1790089210194,4274,2.5615,2.2289,9.0509,Walking
1790089210215,4295,2.6847,2.0417,9.1968,Walking
1790089210235,4315,3.0072,1.9035,9.7065,Walking
1790089210257,4337,2.9115,1.8185,9.4696,Walking
1790089210279,4359,2.3001,1.7468,8.9510,Walking
1790089210305,4385,1.9603,1.7545,8.7787,Walking
1790089210322,4402,1.7180,1.9190,8.3958,Walking
1790089210342,4422,1.7910,2.2510,7.9382,Walking
1790089210364,4444,1.7276,2.5472,7.4273,Walking
1790089210385,4465,1.5039,2.6668,7.0385,Walking
1790089210406,4486,1.6020,2.8056,7.1689,Walking
1790089210427,4507,1.6397,2.7996,7.5308,Walking
1790089210448,4528,1.3017,2.7338,7.6971,Walking
1790089210469,4549,1.1868,2.6722,8.2361,Walking
1790089210491,4571,1.3029,2.7296,8.9312,Walking
1790089210512,4592,1.1210,2.6477,9.3260,Walking
1790089210534,4614,1.1438,2.6961,9.6126,Walking
1790089210554,4634,1.3813,2.8887,9.7531,Walking
1790089210575,4655,1.4417,2.9432,9.7131,Walking
1790089210597,4677,1.3304,2.9366,9.4786,Walking
1790089210617,4697,1.2556,2.8487,9.3523,Walking
1790089210638,4718,1.3113,2.8343,9.2363,Walking
1790089210662,4742,1.4393,2.8110,9.1992,Walking
1790089210681,4761,1.3352,2.7171,9.0162,Walking
1790089210702,4782,1.3687,2.6130,9.2124,Walking
1790089210723,4803,1.1713,2.4251,9.6975,Walking
1790089210746,4826,1.1342,2.3928,9.7083,Walking
1790089210765,4845,1.2060,2.4514,9.3781,Walking
